ID,longitude,latitude,flow_accumulation,QA_PIXEL_mean,QA_PIXEL_variance,B1_mean,B1_variance,B2_mean,B2_variance,B3_mean,B3_variance,B4_mean,B4_variance,B5_mean,B5_variance,B6_mean,B6_variance,B7_mean,B7_variance,meadow_pred
71.0,-121.35888333172538,40.08346910261247,1.894777265745008,24195.60908041554,36154648.13235858,11349.401115813773,13598025.867160443,12060.421315890724,16873961.839553673,12728.727972297038,11998051.631973833,13574.879569065026,14847042.254905734,18240.25913813005,8895637.948922662,18652.175644478644,16741592.464313194,16168.505194305502,15916470.046556368,0.48342382496715414
186.0,-121.3102784431722,40.76842109303444,1.862729284669343,36446.11972993248,242526625.8076519,11484.926772318087,14145421.449292012,11968.34218867217,13728665.080921795,12825.176453488386,11294595.744950302,13767.470105026256,10404169.834199175,16828.648115153792,11224356.030359156,17962.697965116287,4957376.1140050655,16496.980063765943,6503196.707689419,0.4798121237708139
202.0,-121.3986556305319,40.78415468082479,1.009359574331688,38438.0,276024996.0,12578.886465683128,14687485.92928159,12900.231270044898,13025167.911914686,14012.978832584991,13141925.72857601,14902.26966003848,9895072.301539453,18371.751314945483,9214417.59047466,19157.114913406025,3592541.4441789603,16921.912540089797,5048108.308932006,0.47210581211203306
203.0,-121.3957531317874,40.77708310539154,1.394688292720424,32104.451630267584,169529786.86158106,11221.802243540447,11635431.38897166,11890.8562365426,11613444.99583781,12655.58801138111,9023064.729044903,13576.918880729,7366847.369737191,16801.715443325123,6917977.905745344,17106.18315518301,3693956.533009072,15442.291765995064,4130704.275381611,0.4924026861737749
238.0,-120.98305049358844,40.34221912165335,2.069506381669999,35682.70073891625,229758451.16717973,13271.77855603448,31568423.641510148,13771.413870073888,31109664.3517934,14504.27516933497,26733184.30715055,15337.543873152708,26158824.30426416,20522.884159482757,17243577.884582814,20335.54056342364,5644701.193850063,17615.9559729064,12033329.023552945,0.4903913390636632
276.0,-118.37017985308064,35.86899307169951,1.0,38428.61512027491,260931462.86597937,13316.744272623137,26580595.10839061,13990.456185567007,28410710.373568155,14482.165521191291,22142513.37285223,15350.86025200458,23429880.749427263,20151.302691867128,13973139.141609391,20010.25773195876,5858427.208476517,17552.8863115693,11504890.412227947,0.4724020642959679
319.0,-118.62741552756422,35.9824030541035,1.0,32343.91949685536,173388492.16603777,10313.606918238997,4995456.676939204,10863.615199161426,5661370.920702307,11920.86666666667,5848539.933228513,12601.965513626836,7353201.016719079,17991.291194968555,2595477.9536687634,18232.427882599583,2757707.881132076,16445.085324947595,3938847.285010483,0.49285161712891823
340.0,-118.6109547154412,36.01240368550256,1.1711350136458498,21976.0,46208.0,11388.288347491589,23829004.65858134,11943.060479777749,25172176.171038818,12702.66340759738,22517877.672525883,13393.891061601762,24954797.600933205,16484.03424694129,23611419.601467468,18115.03173585511,15774583.603711426,17305.55345407919,12955785.123577494,0.491324641663962
354.0,-118.32588773736752,36.01711808088762,1.0407904470041214,36537.04378172587,244009091.37182724,12371.981123096444,17996891.315487515,12879.4633037225,18387160.91217216,14214.242332910317,20025079.631900374,14690.462510575297,19124678.977818318,19280.112838409463,8112273.527548647,19267.167036802024,2582252.9046901427,16535.014329526217,5082848.132852156,0.4772225485555599
388.0,-118.39272789694114,36.05975026864213,1.859410710976589,22029.87947641393,50302.84020745863,10984.805816250924,12233562.27509879,11564.239596196592,12552877.732764946,13288.950687412527,14847319.71063157,13922.194955544584,16230979.4528673,20356.86141639911,8644367.353755044,20349.89040503828,12305583.06291334,17117.586369062323,13454732.787823124,0.49021264077977056
425.0,-118.2670724242071,36.127807957931495,1.4289086208834436,35535.52266981291,227260226.6414967,13856.292965896955,35401664.4169476,14485.358053823247,36655208.49013987,14605.532108545423,25116898.681948423,15157.29906174504,24543675.50056184,19483.23596831283,14947997.47131861,19022.354935670548,1909616.643420979,16507.63458621272,2088339.6772009665,0.4926907563030467
1050.0,-118.86721375517456,37.02430323678929,1.8489361702127665,40677.15895372233,0.0,17184.899396378267,0.0,16949.116700201208,0.0,20014.24346076459,0.0,19788.4185110664,0.0,21313.87726358149,0.0,23122.386317907447,0.0,20766.845070422536,0.0,0.46856598408831085
1079.0,-118.8744165101599,37.03628313689103,2.131391858444363,28488.880511182106,0.0,17795.05463258786,0.0,17815.335942492013,0.0,19899.25575079872,0.0,20013.153993610224,0.0,21744.883706070286,0.0,22535.49137380191,0.0,19912.14504792332,0.0,0.477273251238591
1086.0,-118.8610444771695,37.04537642146823,1.063609945108169,36871.43608124253,0.0,20956.30904022302,0.0,21286.10195141378,0.0,21961.75268817204,0.0,22481.42015133413,0.0,24517.327757865387,0.0,24406.22301871764,0.0,22426.84747112704,0.0,0.4966364324274967
1135.0,-119.0543368078392,37.07074817139862,3.517110266159697,22280.0,0.0,14348.110693714,0.0,14837.855246681696,0.0,17817.2471825695,0.0,18254.489857250195,0.0,23197.05835211621,0.0,23032.67142499375,0.0,19772.016028049093,0.0,0.4704968961621383
1228.0,-118.83858603479467,37.13779789094125,1.04212299915754,22280.0,0.0,17359.81503378378,0.0,17628.031672297297,0.0,18862.067145270277,0.0,19273.722128378377,0.0,22198.744510135137,0.0,22725.547297297293,0.0,19553.764780405403,0.0,0.46050340290056346
1503.0,-118.87418658022771,37.2617616811192,3.082333436367211,35807.29505905036,0.0,18325.189009399848,0.0,18910.727500602537,0.0,19656.0312364425,0.0,20267.30672451191,0.0,24278.992094480596,0.0,23629.859869848155,0.0,20692.82593395997,0.0,0.4845553760697206
1525.0,-119.0824972325308,37.280027760837925,1.0,37625.45607673411,0.0,19098.62194408702,0.0,19528.965610012863,0.0,20127.454673061176,0.0,20459.707217218383,0.0,24813.301906655743,0.0,22801.629430342728,0.0,20180.56135220493,0.0,0.4732542800804406
1715.0,-119.07370048043708,37.41118702728029,2.0,53818.82117882117,0.0,19226.22444222444,0.0,19533.15084915085,0.0,21400.57276057276,0.0,21721.784215784217,0.0,24469.259407259404,0.0,24859.797202797203,0.0,22903.47186147186,0.0,0.492054260072538
1777.0,-119.03331548866764,37.434025057226464,4.294502228826151,22280.0,0.0,19675.36179495169,0.0,20353.09660330321,0.0,20189.741664069807,0.0,20965.74571517606,0.0,23581.29386101589,0.0,22379.683390464317,0.0,20291.159551262077,0.0,0.4972797494337215
2013.0,-119.0303651717755,37.49657822710596,1.8899134150455408,29710.83892845032,0.0,17080.166384084998,0.0,17879.080479258504,0.0,19211.91590369617,0.0,19994.00022606533,0.0,23351.83271165367,0.0,23074.387702045897,0.0,20329.876342262916,0.0,0.46366531665525174
2245.0,-118.86392763132189,37.0294746953608,1.5801989979535676,25137.283445111185,0.0,18416.54053418049,0.0,19109.296152488536,0.0,20648.230027062007,0.0,21309.414284033413,0.0,24020.96411342511,0.0,24313.77432639134,0.0,20886.91128368044,0.0,0.4764696923890491
2272.0,-119.06460643693109,37.20995410519557,1.0,34443.15734448511,0.0,19942.01150026137,0.0,20797.60690015683,0.0,21599.756926293783,0.0,22163.602195504445,0.0,24960.10402509148,0.0,25484.3371667538,0.0,21981.45582854156,0.0,0.4945604741075689
2276.0,-119.04990695871852,37.20352665516284,1.409282700421941,25686.16161009312,0.0,16323.081706218083,0.0,16653.32502252929,0.0,18629.71462901772,0.0,18949.748573145083,0.0,22451.75488134575,0.0,23927.91829378191,0.0,20191.27665965756,0.0,0.45310228641863104
2342.0,-118.88545013377832,37.32758398873587,1.0,22280.0,0.0,16767.527554842163,0.0,17169.113964687,0.0,18893.631353665063,0.0,19545.509898341355,0.0,22084.76350989834,0.0,23437.05778491172,0.0,20425.27447833065,0.0,0.4576484067251463
2358.0,-118.8925497381161,37.18167639178187,1.9579741379310345,22280.0,0.0,15666.775025799792,0.0,16323.232714138285,0.0,18516.83436532508,0.0,19036.781733746127,0.0,21968.948916408663,0.0,22629.685758513933,0.0,19940.931372549017,0.0,0.4574181446917409
2934.0,-118.83106371160204,37.15692226509449,2.0,22460.264026402638,0.0,18037.187568756875,0.0,18955.39713971397,0.0,20171.0495049505,0.0,20728.286578657862,0.0,23137.178217821776,0.0,22887.374037403733,0.0,19860.57590759076,0.0,0.4715512412888434
3081.0,-118.80547639156065,37.43508675715948,3.0,47277.19980363279,0.0,17461.217476681395,0.0,17596.79528718704,0.0,19623.92979872361,0.0,19875.099656357383,0.0,22213.920471281293,0.0,23198.681885125185,0.0,20495.50270004909,0.0,0.47614610276848823
3364.0,-118.92221211872229,37.539321023042014,1.0,31757.368269230763,0.0,18724.848557692305,0.0,19035.587019230767,0.0,21125.158653846152,0.0,21554.46201923077,0.0,23229.32067307692,0.0,23880.94567307692,0.0,21422.761057692307,0.0,0.461358622969777
3373.0,-118.9730602934373,37.52470768719527,1.0,22280.0,0.0,19403.602426504905,0.0,19433.62062529165,0.0,21218.49556696221,0.0,21424.703219785355,0.0,23642.818478768084,0.0,24423.45963602427,0.0,21714.98086794214,0.0,0.46428308736204293
3410.0,-118.97354505699168,37.42537790546525,1.8903932946486135,55052.0,0.0,41616.060411311046,0.0,41807.00192802057,0.0,40794.00964010283,0.0,41800.0115681234,0.0,43504.965938303336,0.0,35070.643958868895,0.0,29847.576478149094,0.0,0.4875424260530046
3434.0,-118.70100870053555,37.28595289292736,2.0,22280.0,0.0,20816.21547314578,0.0,21525.98017902813,0.0,21157.710358056265,0.0,22121.84718670076,0.0,23857.544757033247,0.0,23230.50959079284,0.0,21310.685421994884,0.0,0.4979975013730857
3437.0,-118.7079049699011,37.2947615632239,1.8577603143418469,34284.90105263158,0.0,19229.963508771933,0.0,19544.94947368421,0.0,22063.78807017544,0.0,22478.05894736842,0.0,23453.374035087723,0.0,25832.432280701752,0.0,23141.802807017542,0.0,0.4837033262530058
3464.0,-118.83850169800836,37.25538869875854,2.0,22280.0,0.0,14743.291287386215,0.0,15154.813394018209,0.0,18522.795188556564,0.0,19094.477893368014,0.0,21781.35435630689,0.0,23086.726267880367,0.0,20599.08712613784,0.0,0.46177188562942095
3567.0,-118.87557499996056,37.03161360505212,1.0,24558.376163873367,0.0,17418.641837368094,0.0,17729.495965238977,0.0,20321.846679081315,0.0,20622.333954065794,0.0,23275.180012414647,0.0,25501.47175667288,0.0,21025.434512725016,0.0,0.461358622969777
3648.0,-118.80731793798496,37.11510870520118,3.686282957091159,24884.261549692357,0.0,15311.228595265413,0.0,16252.869955156944,0.0,17972.275941182597,0.0,18872.897695275835,0.0,21361.539889456668,0.0,22231.697778704765,0.0,19849.695484409225,0.0,0.4796354878533133
3700.0,-118.821690967391,37.15044066112886,2.6362599771949835,39137.16616314199,0.0,16124.254154078548,0.0,16286.14312688822,0.0,17724.100453172206,0.0,18004.635196374624,0.0,21800.41767371601,0.0,21997.39728096677,0.0,19775.01812688821,0.0,0.4738559459182486
