ID,Area_m2,Longitude,Latitude,BLue_mean,Blue_var,Green_mean,Green_var,NDVI_mean,NDVI_var,NDWI_mean,NDWI_var,NIR_mean,NIR_var,Red_mean,Red_var,SWIR_1_mean,SWIR_1_var,SWIR_2_mean,SWIR_2_var,TPI,Flow,Slope,IsMeadow
10256,4431.651,-118.43229520898272,36.553234637967776,0.0252754166666666,4.789266128472212e-05,0.04993375,1.4466243229166858e-05,0.4568321108818054,0.0002002622229933,0.1321241706609726,0.0001781870329982,0.15028125,2.804042656250061e-05,0.05603875,6.90071822916719e-06,0.1152920833333333,3.91597383680604e-05,0.0753025,3.58175125000001e-05,-8.607666015625,6,5.712438035006046,Yes
3313,0.0,-119.09193187279126,37.48642771378593,0.02683375,3.495765624999658e-07,0.0430725,2.9070250000000266e-06,0.6491578221321106,6.3324251053931135e-06,0.2319937646389007,0.0001311654325235,0.1883275,9.317075624999672e-05,0.0400475,2.9070249999998098e-06,0.11728125,1.008856406249821e-05,0.07262125,7.03501562499334e-07,-5.17578125,5,5.653365485152493,No
571,9238.261,-118.58936542053624,36.23216879565197,0.0366031249999999,0.0001856727511718,0.0604868749999999,0.0001472775605468,0.3575418591499328,0.0038285905211853,-0.1522499322891235,0.001413760561983,0.174804375,0.0002113833605468,0.0836625,0.000256939340625,0.2387625,0.00088459696875,0.209481875,0.0003690077917968,-16.296630859375,2,16.977815871763198,Yes
2063,0.0,-119.4457381921116,37.53280207359694,0.02721875,4.726562500005811e-09,0.04396625,1.816890625001237e-07,0.5962350964546204,3.760842983702162e-07,0.1626587361097335,9.562032935495415e-05,0.17632375,1.8522264062497545e-05,0.0445987499999999,1.0075140624999509e-06,0.12707125,3.193662656249957e-05,0.079235,1.3176900000000031e-05,-0.65576171875,2,6.149724200018223,No
349,0.0,-118.57867405191236,35.89755172205762,0.0140049999999999,6.336820416666667e-05,0.0323383333333333,3.571583888888873e-05,0.3794201910495758,0.0004715916017404,-0.1063849925994873,0.0009008502345764,0.1113091666666666,0.0001153797180555,0.0503324999999999,5.412380416666638e-05,0.1381491666666666,0.0002681674263888,0.1071475,0.0001878666166666,-3.387451171875,2,7.847560864603572,No
10138,0.0,-118.34467712975125,36.497329548899714,0.02396,0.0002037934937499,0.0446720833333333,0.000368092944618,0.5075127482414246,0.0015453861872364,0.1690126061439514,0.0035023106573764,0.1548279166666667,0.005761378300868,0.0487283333333333,0.0005121293909722,0.1165616666666666,0.0038890929305555,0.0801241666666666,0.0018110563243055,-7.3994140625,80,25.14341455013241,No
15301,9711.099,-118.62535053716714,36.37582135703104,0.0035,0.0,0.02495,0.0,0.7328545451164246,0.0,0.1521992534399032,0.0,0.1791424999999999,0.0,0.0276174999999999,0.0,0.131815,0.0,0.0737625,0.0,-0.900146484375,6,6.116432609995153,Yes
11393,0.0,-119.58848531726132,37.612200059370814,0.0235291666666666,0.0001029479763888,0.0412299999999999,8.406323749999966e-05,0.6068146228790283,0.0006084456706483,0.1823016703128814,0.0015873675201221,0.1710025,0.0005094447874999,0.0423208333333333,7.503226805555523e-05,0.1198525,0.0006083960666666,0.0755591666666666,0.0002924581763888,-2.31689453125,5,22.8272556678114,No
3942,0.0,-119.11508043253,37.3219139073778,0.0301474999999999,4.000562500001102e-07,0.041725,3.6602500000024185e-07,0.4782343208789825,3.019537975659792e-05,0.0480552427470684,0.000136205425466,0.1486037499999999,9.00126562498188e-07,0.05245,1.701562500002092e-07,0.13499125,5.272764062497909e-06,0.085945,5.513062499989951e-07,-1.183349609375,22,10.314202069876824,No
2853,0.0,-118.92536417423696,37.03714934529643,0.0192574999999999,1.742400000000026e-06,0.032485,4.356000000000065e-07,0.7335958480834961,8.829001431920336e-05,0.3434324264526367,0.0023842445979604,0.17156625,2.602275156249681e-05,0.0263387499999999,8.337656250004613e-08,0.08391,4.613805625000057e-05,0.0526837499999999,1.579068906249967e-05,-6.455322265625,3,21.982100664411263,No
